endpoint,build_ns,to_lazy_ns,send_ns,total_ns
/json,1020,83805,43294,129183
/json,1133,51300,23313,76397
/json,638,48063,29366,78744
/json,1276,84757,28097,115222
/json,2299,88285,44829,136301
/json,820,89699,21418,112718
/json,4391,144978,46038,198090
/json,1118,54017,22270,78378
/json,1419,88945,47723,139806
/json,989,97097,38584,137558
/json,2731,128183,67793,200224
/json,1973,82573,61469,148100
/json,4919,139294,208221,355134
/json,1157,123037,32260,157932
/json,3110,130580,57946,192855
/json,1165,91722,43625,137621
/json,1593,917156,106401,1026666
/json,1052,91308,34947,128403
/json,3811,139447,72530,218464
/json,1517,83920,22835,109462
/json,3232,155887,103665,264097
/json,1164,74376,27492,104208
/json,3550,168194,73179,247897
/json,1101,76761,30259,109065
/json,743,49333,21350,72135
/json,668,48061,28231,77767
/json,1067,115410,101148,218667
/json,578,38102,24612,63983
/json,794,59031,100892,161897
/json,773,37780,15754,54918
/json,1305,107275,98305,208229
/json,1140,73407,27971,103552
/json,2739,131610,113155,249025
/json,1112,78958,34525,115732
/json,1414,87505,48369,138669
/json,1561,75365,28126,106159
/json,1204,94497,53969,150694
/json,1224,281049,25572,309941
/json,4162,126793,72137,206826
/json,754,53054,17993,72531
/json,4059,130187,107000,244393
/json,978,81255,35968,119418
/json,3164,135458,102692,242653
/json,1253,73378,29594,105474
/json,3455,152787,73365,230844
/json,1026,63033,23606,88712
/json,3722,129318,66246,201756
/json,1508,76870,27484,106979
/json,4404,133213,72250,212652
/json,1562,87613,47187,137482
/json,3771,125886,60382,192626
/json,1568,97911,43209,143785
/json,3212,143300,75313,223107
/json,1200,84736,26655,113950
/json,2328,104044,65108,173604
/json,1474,156638,29500,198166
/json,571,49275,28621,79308
/json,1155,77383,29627,109335
/json,1247,80640,53375,136383
/json,1023,1266762,55696,1324524
/json,1035,64858,31599,98505
/json,1578,81669,32114,116626
/json,1314,86231,41387,130185
/json,990,79773,28059,109855
/json,4221,126599,58704,192015
/json,1318,75082,26491,104100
/json,3920,134581,71444,212716
/json,1236,77447,108103,188008
/json,2862,129177,50907,184367
/json,564,56408,149413,207175
/json,1130,114813,102508,219537
/json,754,59673,127131,188530
/json,4367,137834,99784,245044
/json,1204,83423,27987,113720
/json,1397,99957,35376,137917
/json,1097,75033,28229,105528
/json,2662,128211,65559,197812
/json,1245,79450,34271,116041
/json,1413,76565,53587,132691
/json,978,79513,30421,112101
/json,2884,129456,72887,206561
/json,1105,68123,26397,96740
/json,3914,126558,66107,199241
/json,1343,73958,34035,110528
/json,3543,128878,54402,189439
/json,1466,68440,26186,97143
/json,3765,132271,171685,310350
/json,1098,76674,28711,107513
/json,2941,126961,109303,240573
/json,1211,66089,30157,98660
/json,3149,145729,73499,223699
/json,2150,85426,29562,118420
/json,3944,157889,62385,227361
/json,1157,106992,37343,146661
/json,3385,130117,56437,192772
/json,1285,82442,30645,116068
/json,1503,81269,41647,125554
/json,941,57291,22823,81935
/json,1131,107308,106136,215814
/json,710,72548,26877,101414
/json,3650,124162,58645,188988
/json,1352,77879,30954,111437
/json,1273,74020,35894,112423
/json,1233,76524,29509,108536
/json,3774,129450,56937,193636
/json,1559,66871,59845,129663
/json,1249,85290,44083,131749
/json,974,82113,466197,550281
/json,1788,85341,35477,125036
/json,1060,83160,28794,114184
/json,3625,133008,109250,248798
/json,853,74672,28407,104813
/json,1742,71082,85241,159349
/json,1074,80714,23119,106165
/json,3250,155295,69227,229242
/json,1251,79556,81603,163602
/json,3719,134714,59153,200142
/json,1533,100361,31487,135044
/json,4107,157168,61295,225127
/json,1242,73589,34230,110379
/json,2759,85312,42950,132436
/json,1316,78505,31169,112040
/json,1847,89738,46340,139156
/json,1339,81228,25206,108845
/json,6019,167647,72708,249348
/json,1377,88928,30111,121827
/json,3871,136884,59603,203033
/json,1028,72737,30692,105501
/json,1198,111315,97532,211304
/json,1122,71009,28078,101325
/json,2995,76629,79065,160636
/json,1281,86428,29398,118698
/json,4165,129338,69185,205239
/json,2175,81028,28317,112844
/json,3113,135324,51809,191480
/json,861,75048,29164,106773
/json,1402,78979,75258,157335
/json,1388,102317,45785,150787
/json,5069,139519,66935,214632
/json,981,74150,28848,105064
/json,2522,129193,86154,219286
/json,1332,61190,30215,93687
/json,1370,69738,70313,142593
/json,934,77978,31052,110891
/json,1133,78218,39861,120294
/json,1153,101673,32908,136801
/json,3109,129549,56051,189971
/json,609,998753,63554,1063975
/json,2717,131801,102068,238250
/json,1012,60127,26049,88256
/json,1400,80934,43273,127323
/json,1214,93886,675035,771656
/json,4076,139385,79633,225635
/json,2342,95189,27432,126704
/json,3057,127554,77701,209717
/json,1145,80263,34294,116885
/json,1408,69876,42029,114514
/json,1177,97147,32241,131830
/json,2829,133230,115006,252280
/json,1347,78900,50516,132046
/json,4183,162226,80663,249727
/json,1293,79683,35965,118348
/json,4200,124753,57834,189365
/json,1059,67798,26571,96498
/json,4256,152503,65220,224532
/json,1186,82811,25636,111128
/json,3839,137894,60491,204941
/json,1442,77081,41560,121326
/json,3359,68418,98813,172436
/json,1421,84073,38825,126248
/json,1298,107275,57464,167096
/json,1611,151790,27771,182502
/json,2637,124791,67297,196413
/json,1086,87383,34550,124584
/json,1359,94462,390658,487717
/json,1181,86781,27507,116606
/json,3665,136147,49250,191600
/json,1156,86483,26250,114943
/json,4112,175261,62884,245678
/json,1137,67904,27733,98037
/json,3874,143399,69221,219391
/json,1478,126555,33707,163131
/json,4273,132144,89724,229203
/json,1043,73087,35102,110325
/json,4097,151392,65809,223981
/json,829,59953,25128,86672
/json,2663,131416,64002,199334
/json,1409,67567,27399,97589
/json,3056,135450,104700,244475
/json,1551,82724,25899,111318
/json,3317,129204,66706,200387
/json,1148,66786,34563,104182
/json,3309,127504,45964,179614
/json,926,53324,23367,78404
/json,3118,129768,53556,187675
/json,842,75915,31429,109129
/json,3312,130670,81566,216613
/json,1094,81972,26355,110919
/json,2819,131580,48709,184545
/json,1127,79239,43714,125471
/json,1605,82473,35575,121028
/json,775,78190,30590,110525
/json,1332,87156,48674,138381
/json,1888,98264,28319,129991
/json,4758,128106,62011,197422
/json,1413,259892,27094,289677
/json,1685,95894,43939,142919
/json,932,88409,29985,120250
/json,1180,89734,54203,146259
/json,1600,76313,32635,111725
/json,1630,90294,48971,142392
/json,1247,76121,46619,125317
/json,3728,127733,100822,235138
/json,1451,85959,31047,120212
/json,3015,132171,58979,195444
/json,1086,62233,37636,101929
/json,1047,111331,106325,219682
/json,1314,264138,23335,290176
/json,4180,127132,64102,197938
/json,1190,89906,47542,139925
/json,3865,132685,78472,217627
/json,1889,89432,32652,125221
/json,3323,128133,59172,193188
/json,1251,100427,30127,132979
/json,4958,183871,60505,253172
/json,821,54816,22515,78991
/json,4557,127447,57277,192033
/json,1327,66961,26614,95923
/json,1405,74275,79142,156019
/json,1366,72053,45430,119906
/json,4181,127580,75540,209694
/json,772,74679,28371,105244
/json,3403,133590,43619,181833
/json,1297,82966,49865,135433
/json,4128,132942,69121,208819
/json,1344,83464,34724,120865
/json,4677,154090,49096,210699
/json,1180,80431,29421,112233
/json,1371,140565,100906,243830
/json,1300,83246,109266,195056
/json,1406,76703,28633,107972
/json,1138,110519,28192,141156
/json,4469,139722,59457,206649
/json,1340,76528,33472,112785
/json,1226,101246,65263,169285
/json,961,74010,27198,103006
/json,4393,132334,65100,204838
/json,1170,87817,28448,118676
/json,1317,75659,44109,122333
/json,1173,76064,35418,113821
/json,4153,291911,47752,346581
/json,1066,78592,31131,112006
/json,1189,88198,40277,131260
/json,1358,67027,29594,99091
/json,2152,130171,100348,234803
/json,1104,68645,71463,142250
/json,1142,75374,42445,120032
/json,1331,70028,30892,103258
/json,4104,129693,225745,362363
/json,1134,83117,39555,125015
/json,3286,118685,42031,166309
/json,953,115986,29141,147038
/json,3766,131221,118015,255973
/json,1330,79730,42324,124909
/json,1299,87999,56391,147079
/json,903,47636,17858,67127
/json,4049,179442,32054,218266
/json,1400,108067,38120,149055
/json,1018,76259,42220,121005
/json,1092,77124,28815,108197
/json,3905,127749,59177,193528
/json,872,77088,28808,107903
/json,3518,130221,64480,201005
/json,1099,68760,25680,96645
/json,3776,132769,71720,210994
/json,1258,66835,37584,106688
/json,1068,122960,406764,532191
/json,790,53241,25021,79862
/json,1944,83320,33372,119945
/json,733,76084,27997,105773
/json,1405,86480,31688,120771
/json,1362,88239,45403,136177
/json,3800,129723,59341,195332
/json,953,64835,20825,87470
/json,3175,126970,62120,193534
/json,1221,104942,36307,143603
/json,2882,131409,97802,233352
/json,1249,70277,29892,102618
/json,1457,86643,36020,126033
/json,978,51120,20182,73074
/json,1602,136571,122409,263401
/json,1246,84727,38321,125700
/json,1455,80478,30740,114049
/json,1143,82352,26652,111588
/json,3933,135916,58818,201405
/json,1042,95884,30137,128403
/json,891,127812,126196,255836
/json,1225,81326,25926,109630
/json,3699,128975,74093,209661
/json,1194,68214,31213,101726
/json,4217,144149,69646,220719
/json,1036,73884,60868,137056
/json,3960,128538,59161,194780
/json,1089,101251,35652,139264
/json,4063,143687,68359,218959
/json,1117,75526,27589,105392
/json,1253,86892,53001,143083
/json,1007,86368,43848,132628
/json,1193,69229,28925,100433
/json,650,54161,19930,75419
/json,1085,80684,37742,120750
/json,1289,83188,27159,112727
/json,3219,130595,65930,200949
/json,1256,76558,27603,106470
/json,1173,85029,43689,131005
/json,1108,71836,33749,107764
/json,3902,128439,62825,198019
/json,847,71361,26966,100066
/json,3411,129811,55841,192031
/json,1149,90302,27997,121131
/json,1203,83664,48344,134410
/json,1137,84215,30342,116787
/json,5368,135834,78174,222147
/json,1256,266564,28667,298115
/json,1317,97775,134680,235079
/json,967,71835,34453,108263
/json,4205,133374,110026,250444
/json,1125,67710,24690,94495
/json,3932,129416,104120,240121
/json,1203,73737,27410,103577
/json,2814,132995,101606,238652
/json,1198,101431,35038,138773
/json,3688,130765,59902,197157
/json,967,72306,27100,101693
/json,4238,131080,64260,202504
/json,1299,83750,44630,130732
/json,1205,136411,126080,264747
/json,1022,65073,37249,104422
/json,3015,130956,111961,247198
/json,711,47562,23489,72487
/json,2181,118507,49343,172270
/json,1141,74344,31065,107612
/json,2134,79768,106357,189419
/json,1223,82579,31831,116790
/json,1345,71764,41784,116130
/json,1286,86986,36046,125402
/json,3326,129968,57872,192472
/json,907,58522,24000,84241
/json,1454,85068,37929,125878
/json,1039,101700,26531,130426
/json,3714,142298,50510,199244
/json,891,79485,25815,107234
/json,3437,131569,54478,190732
/json,1186,98729,26415,127792
/json,2576,129624,72319,206216
/json,1180,68141,23793,94103
/json,3977,134441,64147,205557
/json,1015,108743,25459,136757
/json,1417,68765,92041,163958
/json,1196,78143,27916,108343
/json,4022,131414,81232,219677
/json,1053,75254,35876,113224
/json,1404,90826,58385,152255
/json,1397,78181,32008,112882
/json,3960,153078,65417,225139
/json,1233,84265,36507,123304
/json,3793,135254,56525,198260
/json,1039,74363,32105,108533
/json,3798,148815,61709,217863
/json,1364,99765,212496,314694
/json,4226,134130,66254,207261
/json,1106,76351,26896,105477
/json,3751,126646,61525,194383
/json,1064,64717,21893,88582
/json,1439,98059,100485,201098
/json,1520,84397,24116,111113
/json,3867,151854,64372,223431
/json,1373,78725,29049,110326
/json,1446,76281,31424,110327
/json,1007,67484,28176,97638
/json,1755,72083,110043,185227
/json,1241,118831,37511,159057
/json,3539,134007,57430,197611
/json,725,352524,32510,386630
/json,1213,118387,98329,219724
/json,1371,85785,28483,116698
/json,1951,110578,47149,161720
/json,1175,91644,27543,121882
/json,3541,134331,45520,186214
/json,1034,67655,24869,94585
/json,4138,128336,76450,211608
/json,1590,81645,28692,113090
/json,1766,87896,44074,135237
/json,1166,82442,27830,112477
/json,4116,130418,60402,197763
/json,1123,75505,55091,132575
/json,4212,145830,89734,242985
/json,1190,148389,35195,186481
/json,3910,136099,71953,214925
/json,868,66482,40537,108833
/json,2234,75065,27716,106342
/json,684,50873,21687,74068
/json,3449,108588,147298,260693
/json,1913,89709,27556,120460
/json,1728,61442,27168,92019
/json,1274,103104,48284,153841
/json,1401,58600,92976,153961
/json,1114,71501,42143,115785
/json,3593,140285,81465,228926
/json,1172,80611,32238,115737
/json,1768,103837,45418,152536
/json,1541,88636,41904,133682
/json,1643,79489,119087,201662
/json,1624,87687,29229,120175
/json,1345,88774,40967,132423
/json,1057,97419,31706,131219
/json,3783,154373,53465,214565
/json,1583,92358,32211,127415
/json,1318,82015,41638,126054
/json,586,54028,22803,78751
/json,3422,126788,58243,190990
/json,1225,70221,24129,96708
/json,1822,78854,91735,173847
/json,1371,80146,28557,111220
/json,3120,127012,73648,205089
/json,1091,87898,25926,115932
/json,4436,132251,61085,200478
/json,1526,85259,143306,231264
/json,3443,138367,76756,221469
/json,1184,76422,34786,113261
/json,3967,215372,62967,285153
/json,1451,76381,33609,112557
/json,1462,105673,66579,175211
/json,1114,118733,378704,499293
/json,1393,73062,58930,134644
/json,1176,63617,189635,255323
/json,3063,151781,57489,213660
/json,1006,79018,54865,136147
/json,3950,137516,65266,209775
/json,1146,79608,42520,124691
/json,4158,135762,92603,235180
/json,1095,98237,30301,130791
/json,1734,92563,102098,198046
/json,1239,85550,35270,123432
/json,1640,83461,97547,183758
/json,753,77166,26874,105706
/json,1214,76970,37570,117211
/json,1121,85603,29625,117549
/json,1417,74504,31954,109149
/json,941,93800,30791,126794
/json,1645,74796,136601,214477
/json,1167,96530,33641,132397
/json,3879,136230,63059,205933
/json,1062,77796,46421,126205
/json,3954,133651,66074,206581
/json,1583,81233,34885,119098
/json,4109,146326,69443,223167
/json,1200,103639,25265,131350
/json,2069,94037,45114,143323
/json,1963,88704,41492,134027
/json,1282,114846,62104,179562
/json,1515,85684,26034,114376
/json,2017,91890,55006,150469
/json,1179,78135,32058,112495
/json,1372,94358,109935,206778
/json,1255,105937,25719,134187
/json,2733,129731,52898,186756
/json,1367,79176,30394,112602
/json,1622,75700,101529,180463
/json,1075,80442,33311,116190
/json,4220,133951,57453,198315
/json,1528,86299,31261,121048
/json,1247,83405,101669,187414
/json,1216,78198,38620,119207
/json,2887,130010,101856,236200
/json,839,72309,27556,101649
/json,4719,142908,106982,257295
/json,864,59758,17049,78465
/json,3640,127738,61469,195515
/json,1314,68766,24962,96180
/json,1191,67189,32018,101545
/json,1072,65819,27383,95236
/json,4115,159097,72677,238515
/json,1179,113056,28494,143776
/json,2118,100444,53944,158786
/json,1093,68272,173850,244396
/json,3876,140443,70225,217081
/json,1259,78603,30860,111812
/json,1546,99068,50739,153406
/json,1189,84837,27982,115196
/json,1401,94070,70552,168553
/json,1065,76018,26805,105028
/json,4334,130233,72674,209826
/json,955,398692,30451,431358
/json,3720,133634,52994,192985
/json,1188,145059,39394,186882
/json,3986,138009,57778,202626
/json,2034,105316,38383,148009
/json,1287,110396,98853,211617
/json,1514,95600,31432,129894
/json,3795,136268,80976,223908
/json,1081,59649,26442,88206
/json,2850,130363,68407,203049
/json,1055,96483,26432,125608
/json,3638,127170,58072,191754
/json,918,69438,30107,101459
/json,3837,129301,49881,185781
/json,587,40319,17155,58649
/json,3917,155833,98442,260938
/json,1203,73713,27008,103277
/json,3514,375817,34319,414929
/json,1369,73605,49524,125512
/json,1582,90667,48422,142670
/json,1329,84212,104799,191430
/json,1268,95419,60243,158171
